bairro_cod,bairro_nom,rpa,microrregi,bairro_n_1
728,CIDADE UNIVERSITARIA,4,3,Cidade Universitária
116,SOLEDADE,1,2,Soledade
710,ENGENHO DO MEIO,4,2,Engenho do Meio
841,CACOTE,5,2,Caçote
884,COHAB,6,3,Cohab
736,VARZEA,4,3,Várzea
701,TORROES,4,2,Torrões
698,IPUTINGA,4,1,Iputinga
752,CURADO,5,1,Curado
817,SAN MARTIN,5,3,San Martin
213,IPSEP,6,1,Ipsep
400,PASSARINHO,3,3,Passarinho
590,DOIS IRMAOS,3,1,Dois Irmãos
159,JAQUEIRA,3,1,Jaqueira
868,JARDIM SAO PAULO,5,1,Jardim São Paulo
850,AREIAS,5,2,Areias
906,SANCHO,5,1,Sancho
876,BARRO,5,1,Barro
833,ESTANCIA,5,1,Estância
450,SANTANA,3,1,Santana
892,TEJIPIO,5,1,Tejipió
671,ZUMBI,4,1,Zumbi
680,CORDEIRO,4,1,Cordeiro
922,COQUEIRAL,5,1,Coqueiral
914,TOTO,5,1,Totó
744,CAXANGA,4,3,Caxangá
604,SITIO DOS PINTOS,3,1,Sítio dos Pintos
639,PAU FERRO,3,3,Pau Ferro
140,DERBY,3,1,Derby
345,FUNDAO,2,2,Fundão
183,ROSARINHO,2,1,Rosarinho
310,CAMPINA DO BARRETO,2,1,Campina do Barreto
361,PORTO DA MADEIRA,2,2,Porto da Madeira
353,CAJUEIRO,2,2,Cajueiro
370,BEBERIBE,2,3,Beberibe
426,BOMBA DO HEMETERIO,2,2,Bomba do Hemetério
515,MANGABEIRA,3,2,Mangabeira
396,DOIS UNIDOS,2,3,Dois Unidos
388,LINHA DO TIRO,2,3,Linha do Tiro
272,TORREAO,2,1,Torreão
191,TAMARINEIRA,3,1,Tamarineira
795,MANGUEIRA,5,3,Mangueira
78,ILHA DO LEITE,1,2,Ilha do Leite
221,JORDAO,6,2,Jordão
108,SANTO AMARO,1,1,Santo Amaro
477,POCO,3,1,Poço
442,CASA FORTE,3,1,Casa Forte
469,PARNAMIRIM,3,1,Parnamirim
299,PEIXINHOS,2,1,Peixinhos
329,ARRUDA,2,1,Arruda
86,BOA VISTA,1,2,Boa Vista
663,PRADO,4,1,Prado
51,CABANGA,1,2,Cabanga
248,PINA,6,1,Pina
612,BREJO DA GUABIRABA,3,3,Brejo da Guabiraba
760,ILHA DO RETIRO,4,1,Ilha do Retiro
94,PAISSANDU,1,2,Paissandu
43,ILHA JOANA BEZERRA,1,3,Ilha Joana Bezerra
230,IBURA,6,2,Ibura
540,ALTO JOSE BONIFACIO,3,2,Alto José Bonifácio
493,ALTO DO MANDU,3,1,Alto do Mandu
531,MORRO DA CONCEICAO,3,2,Morro da Conceição
434,CASA AMARELA,3,1,Casa Amarela
930,PONTO DE PARADA,2,1,Ponto de Parada
175,ENCRUZILHADA,2,1,Encruzilhada
124,ESPINHEIRO,3,1,Espinheiro
132,AFLITOS,3,1,Aflitos
27,SANTO ANTONIO,1,2,Santo Antônio
19,RECIFE,1,1,Recife
256,BRASILIA TEIMOSA,6,1,Brasília Teimosa
558,VASCO DA GAMA,3,2,Vasco da Gama
809,BONGI,5,3,Bongi
205,BOA VIAGEM,6,1,Boa Viagem
787,MUSTARDINHA,5,3,Mustardinha
35,SAO JOSE,1,2,São José
523,ALTO JOSE DO PINHO,3,2,Alto José do Pinho
949,ALTO SANTA TEREZINHA,2,2,Alto Santa Terezinha
582,MACAXEIRA,3,3,Macaxeira
574,BREJO DE BEBERIBE,3,3,Brejo de Beberibe
566,NOVA DESCOBERTA,3,3,Nova Descoberta
485,MONTEIRO,3,1,Monteiro
280,CAMPO GRANDE,2,1,Campo Grande
655,TORRE,4,1,Torre
647,MADALENA,4,1,Madalena
337,AGUA FRIA,2,2,Água Fria
60,COELHOS,1,3,Coelhos
302,HIPODROMO,2,1,Hipódromo
167,GRACAS,3,1,Graças
264,IMBIRIBEIRA,6,1,Imbiribeira
825,JIQUIA,5,2,Jiquiá
779,AFOGADOS,5,3,Afogados
507,APIPUCOS,3,1,Apipucos
418,GUABIRABA,3,3,Guabiraba
620,CORREGO DO JENIPAPO,3,3,Córrego do Jenipapo